arabic,english
قتادة,Qatada
قتيبة,Qutayba
قحطان,Qahtan
قصي,Qusay
قيس,Qais
كايد,Kayed
كمال,Kamal
كنعان,Kanaan
لقمان,Luqman
لؤي,Luay
ليث,Laith
ماجد,Majid
مازن,Mazen
مأمون,Maamoun
محمد,Muhammad
محمد نور,Muhammad Nour
مرهف,Marhaf
مسعود,Masoud
مشاري,Mishari
مشعل,Meshaal
مصطفى,Mustafa
مصعب,Musab
مطلق,Mutlaq
معاذ,Moaz
معاوية,Muawiyah
معتصم,Mutasim
معز,Moez
ممدوح,Mamdouh
مناف,Manaf
مهند,Muhannad
مؤيد,Muayad
ناصر,Nasser
نايف,Nayef
نديم,Nadim
نذير,Nazir
نزار,Nizar
نعمان,Noman
نواف,Nawaf
نوفل,Nofal
هاني,Hani
هزاع,Hazza
هشام,Hisham
هلال,Hilal
هواش,Hawash
هيثم,Haitham
وائل,Wael
وسام,Wissam
وضاح,Wadah
وليد,Walid
ياسر,Yasser
يامن,Yamen
أسعد,Asaad
الأحمد,Al-Ahmad
الأسعد,Al-Asaad
البشير,Al-Bashir
البكور,Al-Bakour
الحداد,Al-Haddad
الحسني,Al-Hasani
الحسين,Al-Hussein
الحسيني,Al-Husseini
الحلبوني,Al-Halbouni
الحلبي,Al-Halabi
الحمصي,Al-Homsi
الحمود,Al-Hamoud
الحموي,Al-Hamwi
الروح,Al-Rouh
السحار,Al-Sahar
الشامي,Al-Shami
الشققي,Al-Shaqqi
الصالح,Al-Saleh
الطويل,Al-Taweel
العمر,Al-Omar
القيسي,Al-Qaisi
المصري,Al-Masry
المنجد,Al-Munajjid
الموصلي,Al-Mawsili
النجار,Al-Najjar
باذنجان,Eggplant
بارودي,Baroudi
بكور,Bakour
تركاوي,Turkawi
حديد,Hadid
حسين,Hussein
حوراني,Hourani
خليل,Khalil
دياب,Diab
ريس,Rais
زكار,Zakkar
شعار,Shaar
عبد الرؤوف,Abdul Raouf
عثمان,Othman
عرابي,Orabi
عمر,Omar
قصاب,Qassab
قطان,Qattan
لاذقاني,Lathani
مؤذن,Muezzin
معد,Maed
محمد,Mohammed
محمد,Mohammad
محمد,Mohamd
محمد,Mhmd
محمد,Mhmed
محمد,Muhammed
محمد,Muhammad
محمد,Muhamad
علي,Ali
علي,Aly
زياد,Zeyad
زياد,Zeiad
زياد,Zyad
احمد,Ahmed
احمد,Ahmad
احمد,Ahmet
احمد,Ahmat
حسن,Hassan
حسن,Hasan
حسين,Hessen
حسين,Hussein
حسين,Hessin
حسام,Hossam
حسام,Hosam
حسام,Hussam
حسام,Husam
طارق,Tarek
طارق,Tarik
بلال,Belal
بلال,Bilal
خالد,Khalid
خالد,Khaled
سيد,Sayed
سيد,Saied
سيد,Saied
سعيد,Saeed
عمر,Omar
عمر,Umar
اسامة,Osama
اسامة,Usama
امين,Amin
امين,Ameen
وليد,Waleed
مصطفى,Mostafa
مصطفى,Mustafa
مصطفى,Moustafa
عشري,Ashry
معتصم,Muatassim
معتصم,Mutasim
معتصم,Moatassim
معتصم,Motasim
محسن,Mohsen
محسن,Muhsen
جلال,Galal
سهيلة,Sohaila
سهيلة,Suhaila
سهيل,Sohail
سهيل,Suhail
مصعب,Mosaab
مصعب,Musaab
ابراهيم,Ibrahim
ابراهيم,Ebrahim
ابراهيم,Ibrahem
ابراهيم,Ebrahem
